Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Total Claim Amount,Policy Type,Vehicle Class,Customer,State,Customer Lifetime Value,Education,Gender,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Total Claim Amount,Vehicle Class
QK46697,Washington,M,Bachelors,617710.93%,61040.0,79.0,1/1/00,Personal Auto,Two-Door Car,20.382876,WP73172,Oregon,F,Bachelor,828767.93%,81367.0,103.0,1/0/00,415.768941,Special Auto,SUV,TJ30081,Arizona,12036.62051,Bachelor,M,44428,104,0,Personal Auto,499.2,SUV
HS14476,Washington,M,College,916206.32%,29723.0,80.0,1/0/00,Personal Auto,Four-Door Car,20.985105,QE12539,California,M,Doctor,1273195.16%,40870.0,105.0,1/0/00,504.0,Personal Auto,SUV,LZ89773,California,2326.864833,Doctor,M,0,62,0,Personal Auto,624.711448,Four-Door Car
HD95276,Washington,F,College,473787.17%,0.0,130.0,1/0/00,Personal Auto,SUV,23.820158,OY95739,Nevada,M,High School or Below,1229868.63%,17101.0,113.0,1/0/00,542.4,Corporate Auto,SUV,HM41195,Arizona,5746.32619,High School or Below,M,22906,76,0,Personal Auto,519.883102,Four-Door Car
YD87931,Washington,M,Doctor,495165.61%,46896.0,35354.0,1/1/00,Personal Auto,Four-Door Car,31.707317,OO63074,California,F,Bachelor,451790.88%,25261.0,118.0,1/0/00,566.4,Personal Auto,SUV,WX33904,Arizona,6355.678846,Bachelor,M,0,61,0,Special Auto,292.8,Two-Door Car
NW21079,Washington,F,Master,487938.48%,67163.0,61.0,1/2/00,Personal Auto,Two-Door Car,33.192803,YM99866,Arizona,M,High School or Below,261196.59%,53904.0,67.0,1/2/00,321.6,Personal Auto,Four-Door Car,WV57813,Oregon,5132.684537,Bachelor,F,0,73,0,Personal Auto,525.6,Four-Door Car
YB66933,Washington,F,Bachelor,538275.20%,77552.0,68.0,1/1/00,Corporate Auto,Four-Door Car,45.215059,EX46492,Arizona,F,Master,766652.04%,87864.0,94.0,1/0/00,421.456547,Personal Auto,Two-Door Car,FI86516,Oregon,4786.054889,Bachelor,F,0,68,0,Corporate Auto,489.6,Four-Door Car
OW15518,Washington,F,College,1595001.95%,0.0,87.0,1/1/00,Personal Auto,Two-Door Car,46.041452,MM49431,Washington,M,Bachelor,729858.36%,74069.0,63.0,1/2/00,275.516438,Personal Auto,Two-Door Car,BH86846,Washington,20708.25881,High School or Below,M,92079,65,1,Corporate Auto,114.798771,Four-Door Car
GP39118,Washington,M,High School or Below,499655.27%,71600.0,63.0,1/0/00,Personal Auto,Two-Door Car,46.158117,HJ79774,Oregon,F,College,276480.23%,31591.0,72.0,1/4/00,240.241499,Corporate Auto,Four-Door Car,DF62718,California,7294.40195,High School or Below,F,83488,90,0,Personal Auto,432.784577,Four-Door Car
SG20925,Washington,F,Master,518579.76%,99428.0,6464.0,1/1/00,Personal Auto,Four-Door Car,48.046869,LE84979,California,F,Master,1220812.00%,21331.0,103.0,1/0/00,419.062661,Personal Auto,SUV,ST27958,Washington,4386.277558,College,M,10621,67,0,Personal Auto,321.6,Four-Door Car
FM14335,Washington,F,College,1048491.54%,61108.0,89.0,1/0/00,Personal Auto,Four-Door Car,49.451117,ZB50601,Nevada,M,College,516178.99%,0.0,70.0,1/0/00,469.491537,Personal Auto,Four-Door Car,PW90662,Oregon,13623.62257,College,M,67060,126,4,Personal Auto,339.000467,SUV
HS28694,Washington,F,High School or Below,282986.39%,25317.0,71.0,1/0/00,Personal Auto,Two-Door Car,50.422181,EF52978,AZ,F,High School or Below,477712.16%,0.0,62.0,1/0/00,297.6,Personal Auto,Four-Door Car,NJ15094,Washington,5345.994644,Bachelor,F,0,72,0,Personal Auto,345.6,Four-Door Car
LH92841,Washington,F,Bachelors,725595.38%,88891.0,89.0,1/0/00,Personal Auto,Four-Door Car,50.528355,KN25556,AZ,F,College,720066.49%,0.0,66.0,1/0/00,316.8,Personal Auto,Four-Door Car,QF74147,California,8456.722498,College,F,84574,70,0,Special Auto,167.459769,Four-Door Car
AZ95587,AZ,F,Bachelor,1038855.32%,61222.0,89.0,1/0/00,Special Auto,Four-Door Car,392.604371,QR72180,California,F,Doctor,324131.42%,66889.0,80.0,1/0/00,294.319428,Personal Auto,Four-Door Car,OG71924,Oregon,6966.142868,Master,F,0,93,0,Personal Auto,436.143226,Four-Door Car
DS81757,Oregon,M,College,247012.12%,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,721.242206,TW64385,California,M,Bachelor,552821.28%,36088.0,72.0,1/0/00,345.6,Corporate Auto,Four-Door Car,YF87007,Oregon,10083.48688,High School or Below,F,11828,90,0,Corporate Auto,571.479602,Four-Door Car
OJ94107,AZ,M,Master,561906.85%,50335.0,140.0,1/0/00,Personal Auto,SUV,456.52385,TM13955,Washington,M,Master,299302.46%,0.0,80.0,1/0/00,286.115778,Corporate Auto,Four-Door Car,ZL18631,Arizona,2539.990699,College,F,54889,63,0,Personal Auto,302.4,Four-Door Car
LP84436,California,F,High School or Below,904711.92%,0.0,127.0,1/0/00,Personal Auto,Sports Car,1087.995426,GF94951,AZ,M,Bachelor,707665.32%,0.0,68.0,1/0/00,489.6,Corporate Auto,Two-Door Car,BZ71120,Oregon,8456.455313,College,F,89918,105,0,Personal Auto,367.230882,SUV
FF22360,Washington,F,Doctor,268731.41%,82210.0,68.0,1/4/00,Personal Auto,Four-Door Car,51.961915,NF53775,California,F,College,370038.50%,17557.0,96.0,1/0/00,666.724937,Personal Auto,Four-Door Car,UP60200,California,26576.31541,Bachelor,M,87002,110,0,Personal Auto,199.851173,Two-Door Car
LM19287,Oregon,F,High School or Below,373150.46%,0.0,96.0,1/0/00,Personal Auto,Four-Door Car,460.8,YB58778,California,F,College,532883.59%,81064.0,70.0,1/4/00,42.238585,Personal Auto,Two-Door Car,XZ64172,Oregon,10963.95723,High School or Below,M,55687,276,0,Corporate Auto,1324.8,Luxury SUV
ZU18643,Nevada,M,Bachelor,366077.03%,64495.0,92.0,1/0/00,Corporate Auto,Four-Door Car,251.992083,PH77560,Nevada,F,High School or Below,483887.71%,0.0,66.0,1/0/00,700.331425,Personal Auto,Four-Door Car,CA47176,Oregon,9671.98323,Bachelor,M,17103,87,0,Personal Auto,417.6,Two-Door Car
AZ82578,California,F,College,792882.93%,0.0,72.0,1/0/00,Corporate Auto,Four-Door Car,345.6,ZO14864,Washington,F,Master,341720.50%,42526.0,86.0,1/0/00,287.5426,Personal Auto,Two-Door Car,CI68869,Arizona,1898.683686,College,F,0,70,5,Personal Auto,702.020904,Two-Door Car
XC67861,Arizona,F,Bachelor,501175.16%,28859.0,67.0,1/3/00,Corporate Auto,Two-Door Car,321.6,BI34376,California,F,Doctor,787992.90%,45703.0,98.0,1/0/00,470.4,Personal Auto,Two-Door Car,XT10744,Arizona,8595.146838,College,M,28441,73,0,Special Auto,686.020135,Two-Door Car
YC43143,Arizona,F,High School or Below,798825.83%,77330.0,99.0,1/0/00,Personal Auto,Four-Door Car,99.257608,UQ63396,California,F,Bachelor,786943.24%,40036.0,65.0,1/0/00,48.828732,Personal Auto,Four-Door Car,HT48275,Oregon,5532.753182,Bachelor,M,91212,69,0,Personal Auto,270.311239,Two-Door Car
EK59571,Oregon,M,College,388545.64%,0.0,105.0,1/0/00,Corporate Auto,Four-Door Car,504.0,BR23201,California,M,Bachelor,258680.72%,0.0,71.0,1/0/00,191.640085,Personal Auto,Four-Door Car,HB48073,Arizona,9371.773682,Bachelor,F,66325,117,0,Corporate Auto,497.719213,SUV
PA38372,Washington,F,High School or Below,935773.78%,33060.0,117.0,1/0/00,Personal Auto,Four-Door Car,56.731578,VH45094,AZ,M,High School or Below,728678.91%,65870.0,61.0,1/1/00,202.847644,Personal Auto,Four-Door Car,MD43085,Oregon,3975.321516,Doctor,F,67895,101,4,Personal Auto,403.937672,Four-Door Car
RO18530,Washington,M,Master,254068.98%,42557.0,65.0,1/0/00,Personal Auto,Four-Door Car,57.562324,KD47243,California,F,Bachelor,1179799.21%,91469.0,100.0,1/2/00,418.864555,Personal Auto,SUV,NJ11986,Arizona,4456.016549,Master,F,29550,114,1,Corporate Auto,118.750512,Two-Door Car
PD27940,Arizona,M,High School or Below,488516.25%,26372.0,126.0,1/0/00,Personal Auto,SUV,604.8,MY13737,California,M,High School or Below,938675.30%,42090.0,119.0,1/0/00,203.352239,Corporate Auto,SUV,HH55884,Arizona,3495.891476,College,M,10275,97,0,Personal Auto,465.6,Four-Door Car
BS77946,Arizona,F,Bachelor,975330.71%,17514.0,127.0,1/0/00,Personal Auto,SUV,8.312729,OR48881,Oregon,F,Doctor,630892.24%,21368.0,79.0,1/0/00,4.61262,Corporate Auto,Four-Door Car,JP69867,Nevada,8512.13221,College,M,61725,106,0,Personal Auto,508.8,Four-Door Car
YM50253,California,Femal,Bachelor,294615.37%,89270.0,74.0,1/0/00,Personal Auto,Four-Door Car,316.599228,BD77090,Washington,F,Bachelors,860915.82%,79090.0,107.0,1/0/00,289.040734,Personal Auto,SUV,FT86104,California,4650.063763,College,M,28215,65,0,Corporate Auto,468.0,Two-Door Car
NR15332,California,M,High School or Below,258111.09%,29757.0,65.0,1/0/00,Personal Auto,Four-Door Car,312.0,LW77178,Oregon,F,Bachelor,1542801.04%,33879.0,98.0,1/0/00,470.4,Corporate Auto,Two-Door Car,GV39658,Arizona,13523.12989,College,F,10563,121,0,Corporate Auto,109.814874,SUV
RC62865,Oregon,M,College,351738.58%,51814.0,92.0,1/0/00,Personal Auto,Four-Door Car,56.300724,BQ12347,AZ,M,High School or Below,563079.30%,72874.0,70.0,1/0/00,336.0,Special Auto,Four-Door Car,GB66110,California,4422.409799,Bachelor,M,0,62,0,Personal Auto,722.432062,Two-Door Car
CC15295,Oregon,F,Bachelor,974335.01%,24028.0,82.0,1/0/00,Personal Auto,Four-Door Car,393.6,FF61670,California,M,High School or Below,1813118.87%,0.0,82.0,1/1/00,393.6,Personal Auto,Four-Door Car,VD51297,California,7320.98824,College,M,99722,61,0,Personal Auto,292.8,Four-Door Car
KA61892,Arizona,M,College,387364.70%,28142.0,105.0,1/0/00,Personal Auto,Sports Car,701.708239,PM61374,California,F,Bachelor,808721.95%,0.0,110.0,1/0/00,550.825934,Personal Auto,Two-Door Car,EP29567,Washington,7031.463693,Master,M,16224,93,0,Corporate Auto,498.452698,Four-Door Car
OS94884,Arizona,F,Bachelor,764928.20%,52705.0,64.0,1/1/00,Personal Auto,Two-Door Car,128.705563,BW25236,AZ,M,College,1845357.63%,72215.0,66.0,1/0/00,247.911872,Personal Auto,Four-Door Car,PE59368,Washington,5123.484988,Bachelor,F,72096,64,0,Personal Auto,252.330905,Two-Door Car
ND87334,California,M,High School or Below,228759.69%,0.0,63.0,1/0/00,Corporate Auto,Two-Door Car,679.368378,XO22038,California,F,Bachelor,521751.33%,39854.0,66.0,1/0/00,261.930545,Corporate Auto,Two-Door Car,DQ50538,Nevada,9050.756606,Bachelor,M,63800,113,0,Personal Auto,542.4,SUV
OY51402,Washington,F,High School or Below,825576.39%,54040.0,103.0,1/0/00,Personal Auto,SUV,59.987126,QG51953,Oregon,M,College,483578.32%,36655.0,61.0,1/0/00,295.223164,Personal Auto,Four-Door Car,WP58340,Arizona,10963.95723,High School or Below,M,55687,276,0,Personal Auto,1324.8,Luxury SUV
YL74911,California,F,College,871492.21%,0.0,118.0,1/0/00,Personal Auto,SUV,566.4,SZ56338,Oregon,F,High School or Below,559712.50%,37995.0,139.0,1/0/00,667.2,Personal Auto,SUV,TM23788,California,6039.020697,High School or Below,M,0,89,1,Personal Auto,640.8,Four-Door Car
GK92563,Washington,F,Doctor,681923.12%,22492.0,85.0,1/0/00,Personal Auto,Two-Door Car,61.654262,PX60116,California,F,High School or Below,892046.40%,40867.0,112.0,1/0/00,537.6,Corporate Auto,Two-Door Car,UF44021,California,2108.493744,Bachelor,M,0,61,0,Personal Auto,351.85681,Two-Door Car
HL53154,California,M,Bachelor,741619.73%,0.0,77.0,1/2/00,Personal Auto,Four-Door Car,554.4,BW46202,Oregon,F,Bachelor,599541.10%,28804.0,78.0,1/0/00,76.025368,Personal Auto,Two-Door Car,WB96917,California,9875.092794,College,M,29598,87,0,Personal Auto,150.926696,Two-Door Car
RI78966,Oregon,M,Master,777115.90%,21876.0,68.0,1/0/00,Personal Auto,Four-Door Car,465.41477,GW14109,California,F,High School or Below,3849694.70%,48409.0,124.0,1/0/00,345.211703,Special Auto,SUV,MN95006,California,6928.601611,Bachelor,M,22907,180,2,Personal Auto,49.18776,Luxury SUV
IC13702,California,F,Bachelor,696834.19%,0.0,69.0,1/1/00,Personal Auto,Four-Door Car,496.8,GP42026,California,M,High School or Below,838263.01%,19683.0,117.0,1/1/00,561.6,Personal Auto,Sports Car,NP60037,Oregon,14318.44839,Bachelor,M,22697,186,1,Corporate Auto,892.8,Luxury SUV
HT87217,Oregon,F,High School or Below,1977656.65%,70699.0,82.0,1/0/00,Personal Auto,Four-Door Car,256.813837,PY42157,Washington,F,High School or Below,247225.39%,62006.0,61.0,1/0/00,292.8,Personal Auto,Four-Door Car,SM58898,California,17223.89108,High School or Below,F,85378,107,0,Corporate Auto,513.6,SUV
TH95618,California,F,High School or Below,2134346.60%,0.0,74.0,1/1/00,Personal Auto,Four-Door Car,355.2,OL36978,California,F,High School or Below,540551.84%,67241.0,68.0,1/1/00,5.674809,Personal Auto,Two-Door Car,FN98595,Nevada,7516.831717,High School or Below,F,31477,94,0,Special Auto,146.950756,Four-Door Car
TS19868,California,M,College,241313.97%,27501.0,63.0,1/0/00,Personal Auto,Four-Door Car,542.319401,KT40899,California,M,High School or Below,935247.90%,75436.0,78.0,1/0/00,9.747443,Personal Auto,Four-Door Car,TW94555,Nevada,5389.499465,College,M,66429,136,0,Personal Auto,57.712985,Sports Car
LP45550,Oregon,F,Doctor,1536384.72%,15897.0,101.0,1/0/00,Personal Auto,Four-Door Car,303.148399,WE60408,AZ,F,College,433987.11%,91761.0,109.0,1/2/00,779.052276,Personal Auto,SUV,XW60886,California,6275.155361,High School or Below,M,0,90,0,Personal Auto,900.242038,Four-Door Car
QR87004,Nevada,F,College,845696.19%,25141.0,73.0,1/1/00,Personal Auto,Four-Door Car,25.438063,LG64797,California,F,College,1772376.40%,25771.0,222.0,1/0/00,1253.984948,Personal Auto,Luxury SUV,IE84844,Nevada,4722.237214,High School or Below,F,0,65,0,Personal Auto,655.489027,Four-Door Car
OE75747,Nevada,F,College,218964.25%,0.0,61.0,1/3/00,Personal Auto,Four-Door Car,292.8,MD87746,Oregon,M,College,750745.54%,60920.0,64.0,1/0/00,231.201886,Personal Auto,Two-Door Car,HY76810,Oregon,6282.317743,Bachelor,F,0,172,0,Corporate Auto,141.460349,SUV
DX91392,California,M,High School or Below,578018.22%,51066.0,74.0,1/0/00,Personal Auto,Four-Door Car,787.993313,QP80741,Washington,F,College,604857.42%,0.0,61.0,1/3/00,292.8,Corporate Auto,Four-Door Car,JL41129,California,7986.191274,Bachelor,M,74217,100,0,Personal Auto,418.005524,SUV
AB72731,California,F,Bachelor,463998.16%,28358.0,117.0,1/0/00,Personal Auto,Sports Car,84.024413,WO59883,Washington,F,High School or Below,1901447.63%,29822.0,61.0,1/0/00,292.8,Personal Auto,Two-Door Car,OQ41280,Nevada,6503.219978,High School or Below,M,46298,88,3,Corporate Auto,128.292466,Four-Door Car
GX84338,Washington,F,Doctor,382443.13%,62530.0,95.0,1/0/00,Personal Auto,Four-Door Car,61.693771,MU79385,AZ,M,College,1008037.03%,60944.0,130.0,1/2/00,623.505066,Personal Auto,SUV,AP65984,Oregon,4881.753428,College,F,0,135,0,Personal Auto,648.0,SUV
IS12901,Arizona,F,Bachelor,596811.89%,90972.0,74.0,1/0/00,Personal Auto,Two-Door Car,232.926145,JH30384,California,F,High School or Below,650339.70%,22081.0,84.0,1/0/00,451.670309,Personal Auto,Two-Door Car,EE99484,Washington,2514.59196,High School or Below,F,43860,65,0,Corporate Auto,156.124914,Four-Door Car
BN90616,Washington,F,Bachelor,859033.50%,63110.0,72.0,1/0/00,Personal Auto,Four-Door Car,68.179721,LL45497,Washington,female,College,248772.97%,67282.0,62.0,1/0/00,297.6,Personal Auto,Two-Door Car,XM39121,Arizona,7955.442668,College,F,0,69,0,Personal Auto,331.2,Four-Door Car
HH90090,California,F,Bachelor,407663.47%,29549.0,104.0,1/0/00,Personal Auto,Sports Car,710.433775,SK95364,California,F,College,462039.01%,0.0,130.0,1/0/00,936.0,Personal Auto,SUV,DK49336,Arizona,4809.21696,College,M,48029,61,0,Corporate Auto,292.8,Four-Door Car
IU25463,California,F,Bachelor,1225260.18%,0.0,115.0,1/1/00,Personal Auto,Four-Door Car,552.0,VG56765,Arizona,M,High School or Below,247152.84%,95697.0,61.0,1/0/00,114.273025,Personal Auto,Two-Door Car,HB43486,Washington,9696.548818,College,F,86830,123,0,Personal Auto,480.533246,SUV
KC11055,Nevada,F,Bachelor,1693627.15%,39411.0,217.0,1/2/00,Personal Auto,Luxury Car,1122.658899,NE24371,Oregon,F,College,649424.40%,15300.0,85.0,1/0/00,408.0,Personal Auto,Four-Door Car,KB15252,Arizona,8709.321889,College,F,0,77,0,Personal Auto,509.100577,Two-Door Car
PD33979,Oregon,M,High School or Below,489243.55%,21709.0,62.0,1/0/00,Personal Auto,Four-Door Car,408.374746,KR48903,Washington,M,High School or Below,250490.76%,88264.0,62.0,1/0/00,297.6,Personal Auto,Two-Door Car,BN83547,Nevada,2858.452328,High School or Below,F,40706,71,0,Personal Auto,166.123172,Four-Door Car
NK71023,Nevada,M,Bachelor,994230.48%,67890.0,85.0,1/0/00,Personal Auto,Four-Door Car,408.0,ZF27999,Nevada,F,College,490489.47%,12902.0,139.0,1/0/00,667.2,Personal Auto,Sports Car,MC55901,California,5233.949019,High School or Below,F,69231,65,0,Personal Auto,193.243084,Four-Door Car
AB13432,California,M,Bachelor,373583.81%,0.0,110.0,1/0/00,Personal Auto,SUV,792.0,MH40017,Arizona,M,High School or Below,480247.70%,29809.0,61.0,1/0/00,365.312072,Personal Auto,Four-Door Car,PZ98142,Arizona,13494.76017,College,F,0,132,0,Personal Auto,950.4,SUV
OZ97704,California,F,High School or Below,1311752.22%,84311.0,111.0,1/4/00,Personal Auto,SUV,532.8,YJ99764,Nevada,M,High School or Below,795577.48%,0.0,74.0,1/0/00,355.2,Personal Auto,Four-Door Car,GB43363,Oregon,6870.607058,College,M,0,105,0,Personal Auto,756.0,Four-Door Car
UF46533,California,F,College,457452.41%,99316.0,114.0,1/0/00,Corporate Auto,SUV,754.358929,AG22225,Oregon,M,High School or Below,694190.08%,0.0,96.0,1/0/00,460.8,Personal Auto,Four-Door Car,TH67541,Arizona,5652.72374,High School or Below,F,16171,74,0,Corporate Auto,311.004168,Four-Door Car
XP47431,Arizona,F,Bachelor,547006.06%,54507.0,138.0,1/0/00,Personal Auto,SUV,702.990032,ZJ26179,Oregon,M,Bachelor,838247.84%,25998.0,71.0,1/0/00,791.878042,Personal Auto,Four-Door Car,WC21901,Arizona,2345.262087,College,M,51397,61,0,Personal Auto,292.8,Four-Door Car
GK73582,California,F,Bachelor,297884.60%,64586.0,76.0,1/0/00,Personal Auto,Four-Door Car,206.837111,VO36036,Oregon,F,Doctor,353643.18%,28248.0,90.0,1/0/00,634.385937,Personal Auto,Four-Door Car,CL38124,Oregon,19688.31898,Bachelor,F,83879,69,0,Personal Auto,212.148485,Four-Door Car
RV98763,Oregon,M,College,641096.75%,61709.0,82.0,1/2/00,Personal Auto,Four-Door Car,275.395894,ZQ94281,California,F,College,324481.66%,68103.0,82.0,1/0/00,277.795988,Personal Auto,Two-Door Car,XH89851,California,7247.206475,College,F,63267,92,0,Personal Auto,530.340202,Four-Door Car
II62831,California,M,Master,447902.31%,94656.0,111.0,1/1/00,Special Auto,SUV,459.738128,CK40732,California,F,High School or Below,761121.28%,0.0,103.0,1/0/00,741.6,Special Auto,Four-Door Car,KA58700,Nevada,6085.304178,College,M,44712,82,2,Corporate Auto,537.78416,Four-Door Car
XK33449,California,F,High School or Below,238373.19%,0.0,69.0,1/0/00,Special Auto,Two-Door Car,496.8,UT73461,Oregon,F,Doctor,450539.83%,81079.0,111.0,1/0/00,134.222332,Special Auto,SUV,ZB40259,California,5480.070226,Doctor,M,59311,69,0,Corporate Auto,14.812808,Four-Door Car
TR85083,California,M,Bachelor,276449.37%,61085.0,70.0,1/1/00,Personal Auto,Two-Door Car,336.0,LT57320,Nevada,F,Master,244584.48%,22732.0,62.0,1/0/00,15.616535,Personal Auto,Four-Door Car,JV63229,Arizona,6876.309925,Bachelor,M,81957,86,0,Personal Auto,433.426544,Four-Door Car
EO95328,Oregon,F,Bachelor,792010.54%,89284.0,67.0,1/3/00,Personal Auto,Two-Door Car,321.6,BZ44726,Nevada,F,High School or Below,1647776.84%,49825.0,70.0,1/3/00,336.0,Corporate Auto,Two-Door Car,SI31035,Arizona,5368.887709,Doctor,M,59601,67,0,Personal Auto,321.6,Four-Door Car
EN21086,Arizona,F,High School or Below,688909.80%,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,302.4,VU32116,Oregon,F,College,354640.02%,0.0,103.0,1/0/00,621.959357,Personal Auto,SUV,JW30054,Oregon,8283.066678,High School or Below,M,71034,103,0,Corporate Auto,494.4,Four-Door Car
YL83902,WA,F,Bachelor,327419.46%,31686.0,81.0,1/0/00,Personal Auto,Four-Door Car,430.994107,EG94326,Nevada,M,High School or Below,427727.01%,77265.0,107.0,1/0/00,513.6,Personal Auto,SUV,AP56340,Washington,5384.671725,Bachelor,M,13103,72,0,Personal Auto,458.003651,Four-Door Car
AZ62651,Oregon,M,High School or Below,995170.77%,56855.0,255.0,1/0/00,Corporate Auto,Luxury SUV,1836.0,EJ43595,California,M,High School or Below,478477.35%,0.0,72.0,1/0/00,779.629297,Corporate Auto,Four-Door Car,FN44127,Oregon,3508.569533,College,M,20978,98,1,Personal Auto,1176.2788,Four-Door Car
ZW25874,Oregon,M,Bachelor,252155.57%,53703.0,67.0,1/2/00,Special Auto,Four-Door Car,67.632476,QI37869,California,M,College,757223.77%,12876.0,107.0,1/2/00,425.964628,Corporate Auto,Four-Door Car,QE79527,California,8427.172486,Bachelor,F,46503,215,1,Personal Auto,1032.0,Luxury SUV
EH41854,WA,F,High School or Below,2370611.34%,0.0,96.0,1/1/00,Personal Auto,Two-Door Car,844.481918,SX65826,Arizona,M,Bachelor,1176087.64%,36431.0,99.0,1/0/00,513.252488,Personal Auto,Two-Door Car,UP36767,California,4553.809528,College,M,61064,113,0,Personal Auto,539.774172,SUV
MW70227,California,M,College,604702.52%,20396.0,76.0,1/1/00,Personal Auto,Four-Door Car,364.8,XO42145,Oregon,M,High School or Below,393381.40%,25927.0,103.0,1/0/00,674.973614,Personal Auto,SUV,PG43749,Oregon,4318.433036,College,F,17572,110,0,Personal Auto,639.769748,Two-Door Car
SL22297,California,F,Master,1114030.25%,27679.0,150.0,1/0/00,Personal Auto,SUV,722.486994,WJ74851,Nevada,F,Bachelor,570076.18%,26811.0,72.0,1/0/00,465.763576,Personal Auto,Two-Door Car,LL96228,Oregon,14091.19449,Master,M,99823,116,0,Corporate Auto,250.183388,SUV
RV14138,Nevada,F,Bachelor,433406.41%,23904.0,123.0,1/3/00,Personal Auto,SUV,590.4,IG68709,Oregon,F,High School or Below,349863.48%,41711.0,90.0,1/0/00,351.286604,Personal Auto,Four-Door Car,OV40993,Nevada,8693.631249,College,F,17453,118,1,Personal Auto,566.4,SUV
UO62808,Arizona,F,High School or Below,279974.79%,65351.0,69.0,1/0/00,Corporate Auto,Four-Door Car,481.027516,AC75391,Arizona,F,College,576809.13%,35091.0,74.0,1/0/00,418.927204,Corporate Auto,Two-Door Car,MA80983,Oregon,6661.181553,College,M,55663,166,0,Personal Auto,194.739777,SUV
